AccessionNumber,GeneName,Function
Rv1267c,embR,Involved in transcriptional mechanism. Thought to regulate the biosynthesis of the mycobacterial cell wall arabinan and resistance to ethambutol (EMB; dextro-2 2'-(ethylenediimino)-DI-1-butanol)  regulating EMBA|Rv3794 and EMBB|Rv3795.
Rv2053c,fxsA,Unknown
Rv3016,lpqA,Unknown
Rv0760c,Rv0760c,Function unknown
Rv2166c,Rv2166c,Unknown
Rv3735,Rv3735,Function unknown
Rv1079,metB,Involved in methionine biosynthesis: converts O-succinyl-L-homoserine to cystathionine [catalytic activity: O-succinyl-L-homoserine + L-cysteine = cystathionine + succinate (can also use hydrogen sulfide and methanethiol as substrates)].
Rv2192c,trpD,Tryptophan biosynthesis
Rv1996,Rv1996,Function unknown
Rv1087,PE_PGRS21,Function unknown
Rv2110c,prcB,Protein degradation
Rv3711c,dnaQ,DNA polymerase III is a complex  multichain enzyme responsible for most of the replicative synthesis in bacteria. The epsilon subunit contain the editing function and is a proofreading 3'-5' exonuclease [catalytic activity: N deoxynucleoside triphosphate = N diphosphate + {DNA}(N)].
Rv2436,rbsK,Involved in ribose metabolism (in the first step) [catalytic activity: ATP + D-ribose = ADP + D-ribose 5-phosphate].
Rv3168,Rv3168,Confers resistance to aminoglycoside antibiotics
Rv0409,ackA,Involved at the first step (of two) in the conversion of acetate to acetyl-CoA [catalytic activity: ATP + acetate = ADP + acetyl phosphate].
Rv0959A,vapB9,Unknown
Rv0405,pks6,Polyketide synthase possibly involved in lipid synthesis.
Rv0116c,ldtA,Involved in peptidoglycan synthesis. Catalyzes the formation of 3->3 crosslinks between peptidoglycan subunits.
Rv2012,Rv2012,Unknown
Rv0331,Rv0331,Function unknown; probably involved in cellular metabolism.
Rv0638,secE1,Essential for protein export.
MTB000074,MTS0858,Unknown
Rv0863,Rv0863,Function unknown
Rv1852,ureG,Probably facilitates nickel incorporation
Rv0265c,Rv0265c,Thought to be involved in iron transport across the membrane (import).
MTB000102,ncRv10128,Unknown
Rv0806c,cpsY,Thought to be involved in exopolysaccharide and/or lipopolysaccharide biosynthetic pathway [catalytic activity: UDP-glucose = UDP-galactose].
Rv2212,Rv2212,Possibly involved in cAMP synthesis [catalytic activity: ATP = 3' 5'-cyclic AMP + diphosphate]
Rv0022c,whiB5,Involved in transcriptional mechanism.
Rv0537c,Rv0537c,Unknown
Rv1346,mbtN,Thought to be involved in the biogenesis of the hydroxyphenyloxazoline-containing siderophore mycobactins
Rv0946c,pgi,Involved in glycolysis and in gluconeogenesis [catalytic activity: D-glucose 6-phosphate = D-fructose 6-phosphate].
Rv1001,arcA,Arginine degradation [catalytic activity:L-arginine + H(2)O = L-citrulline + NH(3)]
Rv1529,fadD24,Function unknown  but involvement in lipid degradation.
Rv2670c,Rv2670c,Function unknown
Rv3501c,yrbE4A,Unknown. Predicted to be involved in lipid catabolism.
Rv0526,Rv0526,Possibly acts on thioredoxin
Rv0130,htdZ,Unknown
Rv3072c,Rv3072c,Function unknown
Rv3763,lpqH,Shown to inhibit gamma interferon regulated HLA-DR protein and mRNA expression in human macrophages
Rv1238,sugC,Involved in active transport of sugar across the membrane (import). Responsible for energy coupling to the transport system.
Rv0924c,mntH,H(+)-stimulated  highly selective  divalent cation uptake system. Responsible for the translocation of the divalent metal across the membrane.
Rv2220,glnA1,Involved in glutamine biosynthesis [catalytic activity: ATP + L-glutamate + NH(3) = ADP + glutamine + orthophosphate].
Rv2930,fadD26,Involved in phthiocerol dimycocerosate (dim) biosynthesis  possibly by activating substrates for the PPS polyketides synthase.
Rv1897c,Rv1897c,Function unknown
Rv0319,pcp,Removes 5-oxoproline from various penultimate amino acid residues except L-proline [catalytic activity: 5-oxoprolyl-peptide + H2O = 5-oxoproline + peptide].
Rv1901,cinA,Unknown
Rv0029,Rv0029,Function unknown
Rv0139,Rv0139,Function unknown; probably involved in cellular metabolism.
Rv2301,cut2,Hydrolysis of cutin (a polyester that forms the structure of plant cuticle).
Rv0912,Rv0912,Unknown
Rv3177,Rv3177,Supposedly involved in detoxification reactions.
Rv0186A,mymT,Coordinates Cu(I) ions into a Cu(I)-thiolate core  protects cell from copper toxicity
Rv2920c,amt,Thought to be involved in transport of ammonium across the membrane (export). Responsible for the translocation of the substrate across the membrane.
Rv2229c,Rv2229c,Unknown
Rv2982c,gpdA2,Involved in de novo phospholipid biosynthesis; glycerol-3 phosphate formation [catalytic activity: SN-glycerol 3-phosphate + NAD(P)(+) = glycerone phosphate + NAD(P)H].
Rv1011,ispE,Thought to be involved in deoxyxylulose-5-phosphate pathway (DXP) of isoprenoid biosynthesis (at the fourth step). Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol [catalytic activity: ATP + 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol = ADP + 2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol].
Rv1527c,pks5,Involved in polyketide metabolism.
Rv3025c,iscS,Catalyzes the removal of elemental sulfur from cysteine to produce alanine.
Rv0554,bpoC,Supposedly involved in detoxification reactions.
Rv2406c,Rv2406c,Function unknown
Rv0207c,Rv0207c,Function unknown
Rv2983,Rv2983,Function unknown
Rv0559c,Rv0559c,Unknown
Rv3248c,sahH,Thioester hydrolase which acting on ether bounds. Could be involved in methionine and selenoamino acid metabolisms. Also involved in activated methyl. Cycle adenosylhomocysteine is a competitive inhibitor of S-adenosyl-L-methionine-dependent methyl transferase reactions; therefore adenosylhomocysteinase may play a key role in the control of methylations via regulation of the intracellular concentration of adenosylhomocysteine [catalytic activity: S-adenosyl-L-homocysteine + H(2)O = adenosine + L-homocysteine].
Rv3583c,Rv3583c,Involved in transcriptional mechanism.
Rv1941,Rv1941,Function unknown; probably involved in cellular metabolism
Rv3803c,fbpD,Involved in cell wall mycoloylation. Proteins of the antigen 85 complex are responsible for the high affinity of mycobacteria to fibronectin. Possesses a mycolyltransferase activity required for the biogenesis of trehalose dimycolate (cord factor)  a dominant structure necessary for maintaining cell wall integrity.
Rv1595,nadB,Quinolinate biosynthesis. Catalyzes the oxidation of L-aspartate to iminoaspartate which is condensed with dihydroxyacetone phosphate to quinolinate under the action of quinolinate synthase a [catalytic activity: L-aspartate + H(2)O + O(2) = oxaloacetate + NH(3) + H(2)O(2)]
Rv3507,PE_PGRS53,Function unknown
Rv1458c,Rv1458c,Thought to be involved in active transport of antibiotic across the membrane (export): unidentified antibiotic resistance by an export mechanism. Responsible for energy coupling to the transport system.
Rv1930c,Rv1930c,Function unknown
Rv1659,argH,Arginine biosynthesis (last step) [catalytic activity: N-(L-arginino)succinate = fumarate + L- arginine]
MTB000043,metU,-
Rv1103c,mazE3,Function unknown
Rv0834c,PE_PGRS14,Function unknown
Rv3011c,gatA,Component of the translational apparatus. Furnishes a means for formation of correctly charged GLN-tRNA(GLN) through the transamidation of misacylated GLU-tRNA(GLN) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-GLU-tRNA(GLN) [catalytic activity: ATP + L-glutamyl-tRNA(GLN) + L-glutamine = ADP + phosphate + L-glutaminyl-tRNA(GLN) + L-glutamate].
Rv0809,purM,Involved in de novo purine biosynthesis (at the fifth step) [catalytic activity: ATP + 5'-phosphoribosylformylglycinamidine = ADP + phosphate + 5'-phosphoribosyl-5-aminoimidazole].
Rv1105,Rv1105,In combination with MTV017.57|Rv1104 catalyzes hydrolysis of several beta-lactam antibiotic PNB esters to the corresponding free acid and PNB alcohol
Rv1619,Rv1619,Function unknown
Rv2324,Rv2324,Involved in transcriptional mechanism.
Rv2607,pdxH,Involved in biosynthesis of pyridoxine (vitamin B6) and pyridoxal phosphate. Oxidize PNP and PMP into pyridoxal 5'-phosphate (PLP)[catalytic activity: pyridoxamine 5'-phosphate + H(2)O + O(2) = pyridoxal 5'-phosphate + NH(3) + H(2)O(2)].
Rv2407,Rv2407,Function unknown
Rv2694c,Rv2694c,Function unknown
Rv0657c,vapB6,Unknown
Rv1008,tatD,DNase involved in protein export. This sec-independent pathway is termed tat for twin-arginine translocation system. This system mainly transports proteins with bound cofactors that require folding prior to export.
MTB000142,ncRv11846,Unknown
Rv2878c,mpt53,Not really known. Despite a weak homology to thioredoxin this cannot serve as a substrate for thioredoxin reductase. Furthermore it has no disulfide reducing activity.
Rv2148c,Rv2148c,Unknown
Rv1104,Rv1104,In combination with MTV017.58|Rv1105 catalyzes hydrolysis of several beta-lactam antibiotic PNB esters to the corresponding free acid and PNB alcohol
Rv2314c,Rv2314c,Function unknown
Rv3641c,fic,Could be involved in cell filamentation induced by cyclic AMP and may have some role in cell division.
Rv2142A,parD2,Unknown
Rv1911c,lppC,Unknown
Rv2676c,Rv2676c,Function unknown
Rv3249c,Rv3249c,Probably involved in a transcriptional mechanism
Rv1192,Rv1192,Unknown
Rv0391,metZ,Involved in methionine biosynthesis. Converts O-succinylhomoserine into homocysteine.
MTB000138,ncRv1621c,Unknown
Rv1629,polA,Involved in post-incision events. In addition to DNA polymerase activity  this DNA polymerase exhibits 3' to 5' and 5' to 3' exonuclease activity [catalytic activity: N deoxynucleoside triphosphate = N diphosphate + {DNA}(N)].
Rv1290A,Rv1290A,Unknown
Rv3781,rfbE,May form an ATP-driven O-antigen/lipopolysaccharide export apparatus  in association with RFBD|Rv3783. Responsible for energy coupling to the transport system.
Rv0227c,Rv0227c,Unknown
Rv1808,PPE32,Function unknown
Rv0523c,Rv0523c,Function unknown
Rv0247c,Rv0247c,Involved in interconversion of fumarate and succinate (aerobic respiration) [catalytic activity: succinate + acceptor = fumarate + reduced acceptor].
Rv3596c,clpC1,Hydrolyses proteins in presence of ATP. May interact with a CLPP-like protease involved in degradation of denatured proteins.
Rv2373c,dnaJ2,Acts as a co-chaperone. Stimulates  jointly with GRPE  the ATPase activity of DNAK|Rv0350.
Rv0482,murB,Involved in cell wall formation; peptidoglycan biosynthesis [catalytic activity: UDP-N-acetylmuramate + NADP+ = UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine + NADPH].
Rv1557,mmpL6,Unknown. Thought to be involved in fatty acid transport.
Rv1344,mbtL,Thought to be involved in the biogenesis of the hydroxyphenyloxazoline-containing siderophore mycobactins
MTB000104,ncRv10150c,Unknown
MTB000100,ncRv10071,Unknown
Rv3533c,PPE62,Function unknown
Rv1012,Rv1012,Unknown
Rv3051c,nrdE,Involved in the DNA replication pathway. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides  precursors that are necessary for DNA synthesis. [catalytic activity: 2'-deoxyribonucleoside diphosphate + oxidized thioredoxin + H(2)O = ribonucleoside diphosphate + reduced thioredoxin].
Rv0897c,Rv0897c,Function unknown; probably involved in cellular metabolism.
Rv3029c,fixA,The electron transfer flavoprotein serves as a specific electron acceptor for other dehydrogenases. It transfers the electrons to the main respiratory chain via ETF-ubiquinone oxidoreductase (ETF dehydrogenase).
Rv1726,Rv1726,Function unknown; probably involved in cellular metabolism
Rv3646c,topA,The reaction catalyzed by topoisomerases LEADS to the conversion of one topological isomer of DNA to another. [catalytic activity: ATP-independent breakage of single-stranded DNA  followed by passage and rejoining].
Rv0489,gpm1,Involved in glycolysis [catalytic activity: 1 3-diphosphoglycerate + 3-phosphoglycerate = 2 3-diphosphoglycerate + 3-phosphoglycerate].
Rv3693,Rv3693,Unknown
Rv0976c,Rv0976c,Function unknown
Rv3224B,Rv3224B,Function unknown
Rv3463,Rv3463,Function unknown
Rv2780,ald,May play a role in cell wall synthesis as L-alanine is an important constituent of the peptidoglycan layer [catalytic activity: L-alanine + H(2)O + NAD(+) = pyruvate + NH(3) + NADH].
Rv3774,echA21,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv1206,fadD6,Function unknown  but supposed involvement in lipid degradation.
Rv2382c,mbtC,Involved in the biogenesis of the hydroxyphenyloxazoline-containing siderophore mycobactins.
Rv2763c,dfrA,Essential step for de novo glycine and purine synthesis  DNA precursor synthesis  and for the conversion of dUMP to dTMP [catalytic activity: 5 6 7 8-tetrahydrofolate + NADP(+) = 7 8-dihydrofolate + NADPH].
Rv3559c,Rv3559c,Function unknown; probably involved in cellular metabolism.
Rv0059,Rv0059,Unknown
Rv0058,dnaB,Participates in initiation and elongation during chromosome replication; it exhibits DNA-dependent ATPase activity. The intein is an endonuclease (potential).
Rv1349,irtB,Involved in iron homeostasis. Responsible for energy coupling to the transport system and for the translocation of the substrate across the membrane.
Rv2210c,ilvE,Thought to catalyze the first reaction in the catabolism of the essential branched chain amino acids leucine  isoleucine  and valine [catalytic activity: L-leucine + 2-oxoglutarate = 4-methyl-2-oxopentanoate + L-glutamate].
Rv2779c,Rv2779c,Involved in transcriptional mechanism.
Rv0141c,Rv0141c,Unknown
Rv2453c,mobA,Involved in molybdenum cofactor biosynthesis. LINKS a guanosine 5'-phosphate to molydopterin (MPT) forming molybdopterin guanine dinucleotide (MGD).
Rv0949,uvrD1,Involved in nucleotide excision repair. Has a 3'-5' helicase activity in presence of ATP. Preferred substrate being one with both single and double stranded regions of DNA.
Rv2209,Rv2209,Unknown
Rv3566c,nat,Could have a role in acetylating  and hence inactivating  the antitubercular drug isoniazid [catalytic activity: acetyl-CoA + arylamine = CoA + N-acetylarylamine].
Rv0096,PPE1,Function unknown
Rv3118,sseC1,Thought to be involved in sulphur metabolism.
Rv1918c,PPE35,Function unknown
Rv0142,Rv0142,Function unknown
Rv2921c,ftsY,Probably involved in the reception and insertion of a subset of proteins at the membrane: possibly membrane receptor for FFH|Rv2916c.
MTB000076,MTS1082,Unknown
Rv3523,ltp3,Function unknown; probably involved in lipid metabolism.
Rv0309,Rv0309,Unknown
MTB000105,ncRv0179,Unknown
Rv2224c,caeA,Converts unknown esters to corresponding free acid and alcohol
Rv3720,Rv3720,Function unknown  but involved in lipid metabolism.
Rv1472,echA12,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv0200,Rv0200,Unknown
Rv0765c,Rv0765c,Function unknown; probably involved in cellular metabolism  possibly electron transfer.
MTB000150,ncRv2993c,Unknown
Rv1968,mce3C,Unknown  but thought to be involved in host cell invasion.
Rv0586,mce2R,Involved in transcriptional mechanism.
Rv1266c,pknH,Involved in signal transduction (via phosphorylation). Thought to be involved in arabinan metabolism  phosphorylating perhaps EMBR|Rv1267c [catalytic activity: ATP + a protein = ADP + a phosphoprotein].
Rv0926c,Rv0926c,Function unknown
Rv1282c,oppC,Involved in active transport of oligopeptide across the membrane (import). Responsible for the translocation of the substrate across the membrane.
Rv1940,ribA1,Involved in riboflavin biosynthesis [catalytic activity: GTP + 3 H(2)O = formate + 2 5-diamino-6-hydroxy-4-(5-phosphoribosylamino)pyrimidine + diphosphate]
Rv1570,bioD,Involved in bioconversion of pimelate into dethiobiotin [catalytic activity: ATP + 7 8-diaminononanoate + CO(2) = ADP + phosphate + dethiobiotin]
Rv1332,Rv1332,Involved in transcriptional mechanism.
Rv3353c,Rv3353c,Function unknown
MTB000053,ASdes,Unknown
Rv1411c,lprG,Unknown
Rv0908,ctpE,Metal cation-transporting ATPase; possibly catalyzes the transport of an undetermined metal cation with the hydrolysis of ATP [catalytic activity: ATP + H(2)O + undetermined metal cation(in) = ADP + phosphate + undetermined metal cation(out)].
Rv1231c,Rv1231c,Unknown
Rv3330,dacB1,Involved in peptidoglycan synthesis (at final stages). Hydrolyzes the bound D-alanyl-D-alanine [catalytic activity: D-alanyl-D-alanine + H(2)O = 2 D-alanine].
Rv2254c,Rv2254c,Unknown
Rv0757,phoP,Involved in transcriptional mechanism. Part of the two component regulatory system PHOP/PHOQ. This protein is thought to be a positive regulator for the phosphate regulon  required for intracellular growth. Transcription of this operon is positively regulated by PHOB and PHOR|Rv0758 when phosphate is limited.
Rv3273,Rv3273,Generates CO(2) and H(2)O from H(2)co(3)  and possibly involved in transport of sulfate across the membrane.
Rv3575c,Rv3575c,Involved in transcriptional mechanism.
Rv2350c,plcB,Hydrolyzes sphingomyelin in addition to phosphatidylcholine. Probable virulence factor implicated in the pathogenesis of Mycobacterium tuberculosis at the level of intracellular survival  by the alteration of cell signaling events or by direct cytotoxicity [catalytic activity: a phosphatidylcholine + H(2)O = 1 2- diacylglycerol + choline phosphate].
Rv3862c,whiB6,Involved in transcriptional mechanism.
Rv2230c,Rv2230c,Unknown
Rv2801c,mazF9,Sequence-specific mRNA cleavage
Rv2094c,tatA,Involved in protein export: required for correct localization of precursor proteins bearing signal peptides with the twin arginine conserved motif S/T-R-R-X-F-L-K. This sec-independent pathway is termed tat for twin-arginine translocation system. This system mainly transports proteins with bound cofactors that require folding prior to export.
Rv2672,Rv2672,Function unknown; possibly hydrolyzes peptides and/or proteins.
Rv1465,Rv1465,Function unknown; probably involved in cellular metabolism.
Rv1058,fadD14,Involved in the fatty acid beta oxidation pathway (degradation).
Rv2994,Rv2994,Unknown; COULB be involved in efflux system (possibly drug).
Rv1880c,cyp140,Cytochromes P450 are a group of heme-thiolate monooxygenases. They oxidize a variety of structurally unrelated compounds  including steroids  fatty acids  and xenobiotics.
Rv0873,fadE10,Function unknown  but involved in lipid degradation.
Rv1947,Rv1947,Unknown
Rv3324c,moaC3,Thought to be involved in the biosynthesis of molybdopterin.
Rv0792c,Rv0792c,Involved in transcriptional mechanism.
Rv0836c,Rv0836c,Unknown
Rv1430,PE16,Function unknown
Rv0477,Rv0477,Unknown
Rv2582,ppiB,PPIases accelerate the folding of proteins [catalytic activity: cis-trans isomerization of proline imidic peptide bonds inoligopeptides].
Rv1403c,Rv1403c,Causes methylation
Rv0397,Rv0397,Function unknown
Rv2151c,ftsQ,This protein may be involved in septum formation.
Rv3045,adhC,Generates aldehyde or ketone from alcohol [catalytic activity: alcohol + NADP(+) = aldehyde or ketone + NADPH].
Rv3718c,Rv3718c,Function unknown
Rv3683,Rv3683,Function unknown
Rv2149c,yfiH,Unknown
Rv3684,Rv3684,Function unknown; probably involved in cellular metabolism.
Rv3860,Rv3860,Function unknown
Rv1925,fadD31,Function unknown  but involvement in lipid degradation.
Rv2661c,Rv2661c,Unknown
Rv2980,Rv2980,Unknown
Rv1896c,Rv1896c,Function unknown
Rv0648,Rv0648,Alpha-mannosidase activity: hydrolysis of terminal  non-reducing alpha-D-mannose residues in alpha-D-mannosides.
Rv1923,lipD,Function unknown; lipolytic enzyme probably involved in cellular metabolism
Rv2815c,Rv2815c,Required for the transposition of the insertion element IS6110.
Rv1385,pyrF,Involved in the biosynthesis of pyrimidines [catalytic activity: orotidine 5'-phosphate = UMP + CO(2)]
Rv3373,echA18,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv3743c,ctpJ,Cation-transporting ATPase; possibly catalyzes the transport of a undetermined cation (possibly cadmium) with hydrolyse of ATP [catalytic activity: ATP + H(2)O + undetermined cation(in) = ADP + phosphate + undetermined cation(out)].
Rv3018A,PE27A,Function unknown
Rv0083,Rv0083,Function unknown; probably involved in cellular metabolism.
Rv3913,trxB2,Enzyme that catalyse the reduction of disulphides by pyridine nucleotides through an enzyme disulphide and a flavin. Seems regulated by sigh (Rv3223c product). [catalytic activity: NADPH + oxidized thioredoxin = NADP(+) + reduced thioredoxin].
Rv3729,Rv3729,Function unknown; probably involved in cellular metabolism.
Rv0315,Rv0315,Possibly hydrolyzes specific sugar (hydrolyzation of glycosidic bond) and could be involved in exopolysaccharide biosynthesis/degradation. Could also have a LYTIC activity against cell WALLS.
Rv1014c,pth,The natural substrate for this enzyme may be peptidyl-TRNAS which drop off the ribosome during protein synthesis [catalytic activity: N-substituted aminoacyl-tRNA + H(2)O = N-substituted amino acid + tRNA]
Rv1675c,cmr,Involved in transcriptional mechanism
Rv3361c,Rv3361c,Function unknown
Rv1195,PE13,Function unknown
Rv0618,galTa,Involved in galactose metabolism (leloir pathway) [catalytic activity: UTP + alpha-D-galactose 1-phosphate = diphosphate + UDP-galactose].
Rv0104,Rv0104,Function unknown
Rv3611,Rv3611,Unknown
Rv0709,rpmC,Involved in translation mechanisms.
Rv1164,narI,Nitrate reduction [catalytic activity: nitrite + acceptor = nitrate + reduced acceptor].
Rv2820c,Rv2820c,Unknown
Rv2902c,rnhB,Degrades the ribonucleotide moiety on RNA-DNA hybrid molecules [catalytic activity: endonucleolytic cleavage to 5'- phosphomonoester].
Rv1814,erg3,Involved in lipid desaturation
Rv3649,Rv3649,Possibly has helicase activity.
Rv3150,nuoF,Involved in aerobic|anaerobic respiration [catalytic activity: NADH + ubiquinone = NAD(+) + ubiquinol].
Rv1730c,Rv1730c,Thought to be involved in cell wall biosynthesis and may also act as a sensor of external penicillins
Rv0390,Rv0390,Function unknown
Rv2049c,Rv2049c,Unknown
Rv0725c,Rv0725c,Function unknown
Rv2319c,Rv2319c,Unknown
Rv3653,PE_PGRS61,Function unknown
Rv2633c,Rv2633c,Unknown
Rv0728c,serA2,Involved at the first committed step in the 'phosphorylated' pathway of L-serine biosynthesis. Catalyzes the oxidation of D-3-phosphoglycerate to 3-phosphohydroxypyruvate [catalytic activity: 3-phosphoglycerate + NAD(+) = 3-phosphohydroxypyruvate + NADH].
Rv1578c,Rv1578c,Unknown
Rv2792c,Rv2792c,Prevents the cointegration of foreign DNA before integration into the chromosome.
Rv0825c,Rv0825c,Function unknown
Rv0332,Rv0332,Function unknown
Rv3186,Rv3186,Involved in the transposition of the insertion sequence IS6110.
Rv1148c,Rv1148c,Unknown
Rv3266c,rmlD,Involved in dTDP-L-rhamnose biosynthesis: converts dTDP-6-deoxy-L-lyxo-4-hexulose to dTDP-L-rhamnose with the concomitant oxidation of NADPH to NADP+ [catalytic activity: dTDP-6-deoxy-L-lyxo-4-hexulose + NADPH = dTDP-L-rhamnose + NADP+].
Rv1807,PPE31,Function unknown
Rv3557c,Rv3557c,Involved in transcriptional mechanism.
Rv2205c,Rv2205c,Unknown
Rv1181,pks4,Potentially involved in some intermediate steps for the synthesis of a polyketide molecule which may be involved in secondary metabolism.
Rv2745c,clgR,Transcriptional regulator
Rv1792,esxM,Function unknown
Rv3834c,serS,Involved in translation mechanism [catalytic activity: ATP + L-serine + tRNA(SER) = AMP + pyrophosphate + L-SERYL-tRNA(SER)].
Rv2612c,pgsA1,Catalyzes the transfer of a free alcohol (inositol) onto CDP-diacylglycerol. The product of this putative ORF seems be essential to mycobacteria [catalytic activity: CDP-diacylglycerol + myo-inositol = CMP + phosphatidyl 1D-myo-inositol]. PgsA1 utilises inositol-phosphate rather than inositol  in contrast to its Eukaryotic ortholog (see Gr&#228;ve et al. 2019).
Rv3469c,mhpE,Involved in aromatic hydrocarbons degradation [catalytic activity: 4-hydroxy-2-oxovalerate = pyruvate + acetaldehyde].
Rv3903c,Rv3903c,Unknown
Rv0793,Rv0793,Function unknown
Rv0450c,mmpL4,Unknown. Thought to be involved in fatty acid transport.
Rv0392c,ndhA,Transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. Does not couple the redox reaction to proton translocation [catalytic activity: NADH + acceptor = NAD+ + reduced acceptor].
Rv3392c,cmaA1,Has cyclopropane function. Transfers a methylene group from S-adenosyl-L-methionine to the cis double bond of an unsaturated fatty acid chain resulting in the replacement of the double bond with a methylene bridge. Mycolic acids  which represent the major constituent of mycobacterial cell wall complex  act as substrates [catalytic activity: S-adenosyl-L-methionine + phospholipidolefinic fatty acid = S-adenosyl-L-homocysteine + phospholipid cyclopropane fatty acid].
Rv1563c,treY,Involved in trehalose biosynthesis (protective effect). Mycobacteria can produce trehalose from glucose 6-phosphate and UDP-glucose (the OtsA-OtsB pathway) from glycogen-like alpha(1-->4)-linked glucose polymers (the TreY-TreZ pathway) and from maltose (the TreS pathway).
Rv2120c,Rv2120c,Unknown
Rv2687c,Rv2687c,Thought to be involved in active transport of unidentified antibiotic across the membrane (export): antibiotic resistance by an export mechanism. Responsible for the translocation of the substrate across the membrane.
Rv2250c,Rv2250c,Possibly involved in transcriptional regulation
Rv0272c,Rv0272c,Unknown
Rv2987c,leuD,Involved in leucine biosynthesis (at the second step) [catalytic activity: 3-isopropylmalate = 2-isopropylmaleate + H(2)O (also catalyses 2-isopropylmaleate + H(2)O = 3-hydroxy-4-methyl-3-carboxypentanone)].
Rv0609A,Rv0609A,Function unknown
Rv2090,Rv2090,DNA metabolism
Rv3498c,mce4B,Unknown  but thought to be involved in host cell invasion. Predicted to be involved in lipid catabolism.
Rv2743c,Rv2743c,Unknown
Rv2102,Rv2102,Unknown
Rv0870c,Rv0870c,Unknown
Rv2714,Rv2714,Function unknown
Rv2691,ceoB,Part of a potassium transport system.
Rv2551c,Rv2551c,Function unknown
Rv1162,narH,Nitrate reduction [catalytic activity: nitrite + acceptor = nitrate + reduced acceptor].
Rv2019,Rv2019,Unknown
Rv0981,mprA,Regulator part of a two component regulatory system (MPRAB system)
Rv3788,Rv3788,Unknown
Rv3420c,rimI,Acetylates the N-terminal alanine of ribosomal protein S18 [catalytic activity: acetyl-CoA + ribosomal-protein L-alanine = CoA + ribosomal-protein N-acetyl-L-alanine].
MTB000057,ASpks,Unknown
Rv1459c,Rv1459c,Unknown
Rv2564,glnQ,Thought to be involved in active transport of glutamine across the membrane (import). Responsible for the translocation of the substrate across the membrane.
Rv1378c,Rv1378c,Function unknown
Rv3181c,Rv3181c,Function unknown
Rv1781c,malQ,Transfers a segment of a (1 4)-alpha-D-glucan to a new 4-position in an acceptor  which may be glucose or (1 4)-alpha-D-glucan
Rv3783,rfbD,May form an ATP-driven O-antigen/lipopolysaccharide export apparatus  in association with RFBE|Rv3781. Responsible for the translocation of the substrate across the membrane.
Rv0157A,Rv0157A,Unknown
Rv0314c,Rv0314c,Unknown
Rv3536c,hsaE,Function unknown; probably involved in cellular metabolism. Predicted to be involved in lipid catabolism.
Rv2098c,PE_PGRS36,Function unknown
Rv3795,embB,Involved in the biosynthesis of the mycobacterial cell wall arabinan and resistance to ethambutol (EMB; dextro-2 2'-(ethylenediimino)-DI-1-butanol). Polymerizes arabinose into the arabinan of arabiogalactan [catalytic activity: UDP-L-arabinose + indol-3-ylacetyl-myo-inositol = UDP + indol-3-ylacetyl-myo-inositol L-arabinoside].
Rv3221c,TB7.3,Function unknown
Rv1889c,Rv1889c,Function unknown
Rv2720,lexA,Involved in regulation of nucleotide excision repair and sos response. Represses a number of genes involved in the response to DNA damage (sos response)  including RECA and LEXA. Has been shown to bind to the 14 bp palindromic sequence 5'-cgaacnnnngttcg-3'. In the presence of single-stranded DNA  RECA interacts with LEXA causing an autocatalytic cleavage which disrupts the DNA-binding part of LEXA  leading to derepression of the sos regulon and eventually DNA repair [catalytic activity: hydrolysis of ala-|-GLY bond in repressor LEXA].
Rv2309A,Rv2309A,Unknown
Rv3816c,Rv3816c,Function unknown; probably involved in cellular metabolism.
Rv3589,mutY,Involved in base excision repair. Removes adenine mispaired with 8-OXOG. May repair A.G and A.C mismatches by adenine excision.
Rv0251c,hsp,Thought to be involved in the initiation step of translation at high temperature. Bound to 30S ribosomal subunit. Possibly a molecular chaperone. Seems to be regulated positively by SIGE|Rv1221 and negatively by HSPR|Rv0353.
Rv2337c,Rv2337c,Unknown
Rv3321c,vapB44,Unknown
Rv2762c,Rv2762c,Function unknown
Rv1528c,papA4,Function unknown; thought to be involved in lipid metabolism.
Rv2107,PE22,Function unknown
Rv2063,mazE7,Function unknown
Rv2721c,Rv2721c,Unknown
